n_citation,x_tsne,y_tsne,x_1_topic_probability,dominant_topic,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19
0,10.899817,0.23594077,0.2236055586898143,14,0.0,0.027286639822844974,0.11199454431602156,0.0,0.02929551197060938,0.0,0.06846489539341692,0.0,0.0,0.0,0.0,0.2090415095976033,0.02639678093015757,0.0,0.2236055586898143,0.0,0.08375169989911409,0.0,0.2126751236542133,0.0
0,1.9175972,-34.202465000000004,0.3655294729912423,1,0.0,0.3655294729912423,0.022198933187782648,0.0,0.027145948282666383,0.0,0.10139431781174052,0.0,0.02641933233045149,0.0,0.0,0.09145477689026513,0.09830102020553366,0.1785304074837306,0.0,0.0818022229207501,0.0,0.0,0.0,0.0
10,-17.966597,28.455247999999997,0.2782131661571617,12,0.0,0.0,0.0,0.0,0.02244282033181173,0.1452198999148948,0.0,0.0,0.20242958709556794,0.0,0.0,0.155466904301148,0.2782131661571617,0.0,0.0,0.0,0.05002879367085487,0.044624128249058134,0.07314278905850237,0.028431911221000406
28,8.078308999999999,-5.449518,0.2847091464392245,13,0.0,0.025788328639096064,0.0,0.0,0.2290809349524214,0.0,0.0,0.0,0.0,0.0,0.0,0.26959471923906186,0.02279573258798887,0.2847091464392245,0.0,0.0,0.0,0.0,0.1648417898464786,0.0
3,17.961988,-28.040996999999997,0.33898935104884365,15,0.0,0.18432507009078936,0.033968756419548926,0.0,0.0,0.0,0.010183301952727352,0.0,0.0,0.0,0.0541644872576251,0.28802118037323104,0.0,0.0,0.07156005385356203,0.33898935104884365,0.0,0.011612770789222328,0.0,0.0
5,24.745258,-7.583195699999999,0.2855171511675265,2,0.012936845395254231,0.0,0.2855171511675265,0.04960810355713132,0.0,0.024735956653852503,0.0,0.0,0.0,0.07065529532252862,0.0,0.19504841764220207,0.0,0.0,0.0,0.08899607882165503,0.2720290305656001,0.0,0.0,0.0
8,4.085674299999999,37.169052,0.3325686709257138,10,0.18675360268490504,0.0,0.0,0.0,0.024613603515534224,0.0,0.0,0.1177807346645178,0.0,0.0,0.3325686709257138,0.026126263000363397,0.0,0.0,0.04802992012171845,0.0,0.2457042364840227,0.0,0.0,0.0
15,-16.430038,-39.84471,0.3491627726349514,0,0.3491627726349514,0.0,0.0,0.13849412712788015,0.0,0.0,0.0,0.0,0.0,0.05468698123117128,0.0,0.0,0.035334793214158534,0.07184767787952419,0.0,0.15149573311437795,0.0,0.1105344905310418,0.0,0.08844342426689476
18,-9.036503999999999,11.864622,0.1518893147990168,17,0.06719837047751474,0.0,0.016765292711266862,0.13956165831555775,0.0,0.10723204470226373,0.06000060819392114,0.0,0.04770663356911789,0.0,0.07528877707885002,0.0,0.09941826231318343,0.03358879884585457,0.14519351381144108,0.0,0.02109949106748877,0.1518893147990168,0.024243733942041372,0.0
2,-17.090084,-44.561214,0.5107205364281339,0,0.5107205364281339,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06676981540113085,0.05633929244915236,0.0,0.0,0.0,0.0,0.0,0.2485493539311536,0.0,0.0,0.0,0.11675042085958973
69,-2.1863267000000004,39.599483,0.366761495463134,16,0.07626331768196945,0.0,0.035301365000270694,0.012740156010245585,0.023203788882750532,0.0,0.2033366291775809,0.0,0.0,0.0,0.02192838699344191,0.0,0.09312539907726447,0.0,0.090433940010684,0.0256500664824932,0.366761495463134,0.04297577851366074,0.0,0.0
3,-34.847862,-24.664886,0.28831380144994057,9,0.0,0.08532810654092944,0.11571909179089952,0.03998319102447374,0.014771384229305675,0.0,0.0,0.05848678467934111,0.0,0.28831380144994057,0.05248251642587999,0.1838527373440365,0.034936667592088036,0.0,0.07718801396581366,0.0,0.0,0.0,0.04769201713027569,0.0
0,1.4092445,-25.958315,0.5213456400404954,3,0.0,0.20454319070205948,0.0,0.5213456400404954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1776075065098223,0.020495835825930217,0.013401492484795456,0.06260633443689705,0.0,0.0
3,-30.9512,6.384911,0.3196934765590941,18,0.012973269278776036,0.0,0.0,0.0,0.060455030572224615,0.0,0.0,0.0,0.20096946015971254,0.06623924681744002,0.16021013633456915,0.09721481121920443,0.0,0.02269091871301861,0.059553650345960524,0.0,0.0,0.0,0.3196934765590941,0.0
54,1.6549988999999998,-13.887217999999999,0.35803153279965794,11,0.0,0.1359237573441651,0.0,0.1997881835298369,0.0,0.0,0.04383531387902753,0.0,0.0,0.0,0.07504246905129358,0.35803153279965794,0.0,0.0,0.030072366431773825,0.0,0.07686048642886772,0.07189488220226141,0.0,0.0
3,-10.417902,26.944359999999996,0.2099871117882565,12,0.08269600596774196,0.0,0.04589816394425992,0.20460291473654002,0.0,0.057694311749621585,0.016026855186749366,0.024875702606629715,0.044790137996916266,0.01646971602299653,0.05006896491758474,0.0,0.2099871117882565,0.0,0.029359765880270318,0.0,0.1414869622714695,0.0,0.07604338693096363,0.0
1,38.030396,22.287392,0.6611321216648148,6,0.04522218308836155,0.0,0.0,0.0,0.0,0.07817025955577851,0.6611321216648148,0.0,0.14055505297441254,0.0,0.0,0.0,0.07492038271663255,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,19.66986,-20.411562,0.3050657639053806,11,0.0,0.0,0.029514691561269294,0.0,0.09010925561372916,0.0,0.0,0.02678451381324977,0.0,0.035983738020322245,0.0,0.3050657639053806,0.07151174572589741,0.0,0.0,0.17033457714691871,0.0,0.08991899033436447,0.0,0.1807767238788684
28,1.3278444999999999,24.866646,0.4809180283658208,10,0.020446725536269413,0.03436233472424437,0.0,0.0,0.04260089322078327,0.0,0.0,0.0,0.013962829722181769,0.020186933076964463,0.4809180283658208,0.0,0.323736924939305,0.0,0.0,0.0,0.0,0.0,0.056737305297031075,0.0
2,16.009165,13.483585,0.2273921970707272,10,0.0,0.0,0.06199893593661101,0.13189788416163048,0.0,0.019258180651381164,0.1378640030315204,0.0,0.10052302173908716,0.0,0.2273921970707272,0.16628816383999276,0.0,0.0,0.1331616607656199,0.0,0.0,0.0,0.0,0.0
112,-38.742634,15.327195000000001,0.29651254583153874,19,0.0,0.08385825054900319,0.017450072089789492,0.04457943353141683,0.0,0.0,0.22238649258549967,0.0,0.027855376872781383,0.011597629653565356,0.13731545166980566,0.0,0.08617436645946733,0.0,0.0,0.0,0.01805592878725389,0.0,0.04584566461277555,0.29651254583153874
0,1.3217088,-30.522413,0.2636415764908869,13,0.0,0.23444480958848304,0.0,0.14404287962569573,0.0,0.0,0.03835841867192998,0.03625181418632538,0.16351412894139025,0.06723095466440754,0.0,0.05251541783088099,0.0,0.2636415764908869,0.0,0.0,0.0,0.0,0.0,0.0
13,44.809174,-14.327098000000001,0.4842843624945956,2,0.0,0.02522654650350797,0.4842843624945956,0.2288843771789045,0.0,0.04366340944881944,0.0,0.01808142774168726,0.01544072370523945,0.0,0.0,0.0,0.0,0.102948471022966,0.0,0.0,0.0,0.05935483577526553,0.0,0.018529179790243426
3,-22.166622,-24.264723,0.5572390859082331,5,0.0,0.0,0.1087342974603894,0.033291501050151565,0.0,0.5572390859082331,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1452342787096286,0.03015495020567218,0.08079519282692528,0.0,0.0,0.041531753673518974
12,-23.604156,-23.53625,0.726793717822312,5,0.026737161893445462,0.0,0.0,0.05313107736952169,0.0,0.726793717822312,0.0,0.01935782630752943,0.0,0.0,0.08545769060217398,0.029685809621477776,0.0,0.012806444857167623,0.0,0.0,0.0,0.017626913340245097,0.0,0.01884547571444801
34,31.236889,-10.054449,0.2454572535138744,2,0.01155129897734995,0.060485339051504175,0.2454572535138744,0.017835387425667818,0.07613695761325695,0.0,0.0,0.0,0.025713736164000245,0.0,0.0,0.08661511630070144,0.04438360626946153,0.1305317101403557,0.0,0.0,0.0,0.06743973098481562,0.11731619881093384,0.1165336647480784
8,7.724069999999999,-5.4314985,0.2284580456292391,11,0.11310418375343087,0.049196692427934674,0.0,0.06605310281793147,0.13867759886565462,0.05167706856826405,0.011930424000755046,0.0,0.01341270627521372,0.02647409832577354,0.0,0.2284580456292391,0.0,0.14921519344770046,0.031384077271636626,0.0,0.0,0.0,0.1189306446635413,0.0
14,4.499326,22.903759,0.5003170734551703,10,0.0,0.0,0.0,0.0,0.31003562212025904,0.16723180185485234,0.0,0.010815985447271206,0.0,0.0,0.5003170734551703,0.011599517122447221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,-6.9746723,-32.37001,0.5617753166816067,13,0.0,0.0,0.0,0.155328649766111,0.0,0.0,0.0,0.0,0.0,0.0,0.025048657818638128,0.0,0.0,0.5617753166816067,0.0,0.2240633477440289,0.0,0.025469544219229926,0.0,0.0
7,-14.782563,-19.7551,0.4743030746240818,3,0.0,0.0,0.10596712630544523,0.4743030746240818,0.0,0.2777548842215829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07742781527206141,0.06454709957682872,0.0,0.0
67,33.989784,-19.222334,0.27752192920547525,2,0.22991749556237304,0.14762677387758902,0.27752192920547525,0.04730446285635631,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18751517726029326,0.0,0.0,0.08081920989828481,0.0,0.01952115237472175,0.0
5,22.025177,25.887226000000002,0.5470446888064886,14,0.0,0.0,0.0,0.0,0.0,0.0,0.05147996277090193,0.20144595837619556,0.0,0.0,0.0,0.01740106368568127,0.0,0.1439950338684628,0.5470446888064886,0.0,0.0,0.0,0.01983631139784486,0.0
0,4.033652,22.516066,0.2715460688557392,10,0.07770236205424295,0.0,0.0,0.0,0.24991057975965314,0.215095131623438,0.0,0.0,0.08710424926750288,0.04089629002780665,0.2715460688557392,0.0,0.0,0.0,0.050892307371219185,0.0,0.0,0.0,0.0,0.0
3,-27.135270000000002,23.053709,0.4794205585807842,18,0.02596595659406512,0.0,0.0,0.0,0.01030888128879288,0.11018583724329646,0.0,0.025622302847378917,0.0,0.0,0.143441458806038,0.0,0.0,0.07872132918929553,0.017642437706821633,0.0,0.0,0.1004367796391218,0.4794205585807842,0.0
1,-29.883574,-25.065533,0.3019618215794239,9,0.0,0.0,0.0,0.09486944455674208,0.0,0.29739812626108586,0.05102747026033624,0.0,0.0,0.3019618215794239,0.06617994917148637,0.03475148384180204,0.0,0.09009345381508127,0.01195563307759496,0.0,0.05176261743644715,0.0,0.0,0.0
2,37.439445,-7.738019,0.5008462417674183,2,0.09921875423434767,0.0,0.5008462417674183,0.0,0.291053550459538,0.0,0.0,0.023571994304847105,0.0,0.0,0.0,0.0,0.08386248907511258,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,41.837563,6.375545,0.4085436286737884,2,0.0,0.06976762135755338,0.4085436286737884,0.026401120652968225,0.0,0.0,0.4021644682570316,0.0,0.0,0.0,0.02087302547312823,0.0,0.04281920721086325,0.0,0.0,0.0,0.018744710237263467,0.0,0.0,0.0
17,-24.042116,-17.40275,0.5213998021871675,5,0.0,0.0,0.0,0.039942900495663486,0.0,0.5213998021871675,0.0,0.0,0.0,0.0,0.0,0.0,0.17442727119537993,0.11236345511745956,0.0,0.0,0.0,0.0,0.0,0.14814557792977373
10,-35.791897,-29.835325,0.2747390850718404,9,0.014253138877375275,0.10004366021501193,0.2645904984993363,0.0,0.0,0.0,0.0,0.0,0.0,0.2747390850718404,0.08629024156647222,0.0,0.0,0.0,0.014476141334611246,0.2456072344353527,0.0,0.0,0.0,0.0
2,-14.727777,-41.408737,0.4055694550702227,0,0.4055694550702227,0.0,0.031237737261325137,0.08708462674985414,0.0,0.12650389653494956,0.0,0.0,0.0,0.03226404143526032,0.0,0.0,0.0,0.08943496164671637,0.0,0.2258878829733393,0.0,0.0,0.0,0.0
2,-12.14485,-16.14361,0.21654043309244447,5,0.059122857991849326,0.08421641714977202,0.0,0.16980569317166022,0.020479500819691673,0.21654043309244447,0.030678857639802267,0.0,0.0,0.11215245524380163,0.06196589930206557,0.11955891286062535,0.0,0.0,0.027942830640429454,0.0,0.02342002388517219,0.07411611820268582,0.0,0.0
14,-15.144042,-31.366756,0.7231662379462434,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02687182183359155,0.0,0.08826103656294237,0.0,0.7231662379462434,0.10493029090590353,0.046764115489010265,0.0,0.0,0.0,0.0
1,18.413813,12.945935,0.1875968784075489,0,0.1875968784075489,0.0,0.12476515026727987,0.0,0.08567175765071862,0.0,0.17777296916110605,0.03692847159294842,0.0,0.0,0.1806329975258523,0.04076914188027876,0.1613685800848151,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,1.6910578,8.713972,0.25158184098681924,1,0.179815588127008,0.25158184098681924,0.04688191331327246,0.0,0.0,0.0,0.07336283652277056,0.09922697650329768,0.0,0.0,0.20232325581260469,0.0206562717343676,0.0,0.0,0.12062549944361077,0.0,0.0,0.0,0.0,0.0
35,-18.85503,15.218263,0.327621197105841,17,0.0,0.09803338412697338,0.0,0.01699089721803284,0.0681842309039497,0.16521497174224584,0.0,0.0,0.0,0.0,0.1357291366250471,0.0,0.0,0.0,0.0,0.0,0.0,0.327621197105841,0.16367987191092329,0.022643898216326216
1,-17.343224,-37.689663,0.3265216844458596,0,0.3265216844458596,0.0,0.0,0.08588486779032706,0.017221110932927792,0.03209299581574658,0.0,0.0,0.026996947015100543,0.0714745313299254,0.0,0.0,0.0,0.2954762656445005,0.0,0.0875179295384175,0.02456943223606221,0.0,0.02396540098204191,0.0
0,17.55363,24.848804,0.3381173084271087,14,0.02654936710073241,0.0,0.03721565366147005,0.17633482273536694,0.10220628070310124,0.0,0.010058027017571641,0.0,0.0,0.0,0.0,0.0,0.17825682318128286,0.01889672402543855,0.3381173084271087,0.0,0.11236499314792762,0.0,0.0,0.0
103,30.403845,-2.4402695,0.3687230958603965,4,0.0,0.17749181346660936,0.28813857654509084,0.0,0.3687230958603965,0.0,0.014296841922495054,0.0,0.010763822047669631,0.0,0.0,0.0,0.0947802693638354,0.0,0.0,0.0,0.0,0.0,0.0,0.015390167553187362
12,-14.506136999999999,-29.147996999999997,0.5826652145142488,13,0.0,0.0,0.0,0.0,0.0,0.22752356196176124,0.0,0.0,0.0,0.0,0.0,0.14359089654897916,0.0,0.5826652145142488,0.04622032697501096,0.0,0.0,0.0,0.0,0.0
4,-5.3770957,14.267857000000001,0.20774696128230705,10,0.0,0.0801161889853091,0.1058565337952194,0.0,0.0,0.1571033585030528,0.0,0.0,0.07808626982705848,0.04066609809016858,0.20774696128230705,0.0,0.08427812187080656,0.0,0.1004508990231483,0.0,0.0,0.12728519597748336,0.010273724246743056,0.0
327,3.0512973999999997,-17.911114,0.3104728408435384,3,0.0,0.0,0.2342886363346373,0.3104728408435384,0.0,0.11719584688347873,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07535584291290932,0.0,0.0,0.0,0.0,0.10354596711794167,0.1557665109047169
4,-38.188454,16.452232000000002,0.3529673855804159,19,0.043007113179937634,0.0,0.0,0.09543810084403098,0.0,0.0,0.0,0.01447511169474548,0.043001330802264516,0.0,0.23442603124850886,0.012391470249374115,0.16865175982911862,0.02394059964543448,0.0,0.0,0.0,0.0,0.0,0.3529673855804159
24,-0.61725336,44.335213,0.5620744036827956,16,0.0,0.0,0.01275944039259291,0.0,0.0,0.0,0.03419080036795091,0.0,0.0,0.013795026297237244,0.0,0.0,0.0347243632998691,0.0347277037172117,0.27029977224020385,0.0,0.5620744036827956,0.0,0.0,0.029892246705580876
3,-21.5931,-6.685463,0.28626401975590776,19,0.0,0.0,0.0,0.02630969110728476,0.0,0.21186271737810425,0.0,0.0,0.0,0.0,0.061771380431889525,0.0,0.0,0.09551753782452113,0.0,0.1972877236704849,0.020485469062529533,0.0,0.10050146076927824,0.28626401975590776
4,-24.394236,6.2756742999999995,0.33619366940074424,0,0.33619366940074424,0.0,0.0,0.04636967363940662,0.0,0.0,0.0,0.05149034886927008,0.0,0.0,0.040361260479900005,0.11644346419905988,0.0,0.0,0.032543872787228686,0.0,0.0,0.1254281867048372,0.04434115914670348,0.19162969113152667
220,3.7552440000000002,21.083729,0.3654169089583983,10,0.04340527421794961,0.09062712383687857,0.0,0.0,0.21984833653611227,0.0,0.0,0.0,0.0,0.0,0.3654169089583983,0.0,0.011464989486255352,0.08312512537359486,0.020352891607049662,0.0,0.16575934998376132,0.0,0.0,0.0
49,-26.288313,29.615139000000003,0.2701797542019993,16,0.03018841835036512,0.04673569631620785,0.04032941118405749,0.0,0.0,0.013668711166991412,0.0,0.0,0.07207280920578753,0.013677394755100564,0.11603835542617234,0.02648508690298877,0.010125569484855984,0.0,0.07431140896506265,0.0,0.2701797542019993,0.0,0.09102761609148513,0.19515976794892584
72,9.614436,-18.015383,0.3662163429817695,4,0.0,0.047594421789710885,0.0,0.14228235319753552,0.3662163429817695,0.056669894845496026,0.0,0.1008820638681518,0.0,0.0,0.01074948002141954,0.0,0.0,0.0,0.0,0.06575619816051377,0.027983476414271985,0.0,0.17969958501298378,0.0
28,23.763353,23.039818,0.372124705779278,14,0.0,0.0,0.0,0.0,0.0,0.0,0.08378876944085728,0.0,0.2048869970435189,0.0,0.0,0.0,0.05225172463232329,0.18564806142434,0.372124705779278,0.045924326986732204,0.0,0.03590747894603262,0.0,0.01946793574691776
5,11.451014500000001,5.589081299999999,0.19173205779565805,11,0.0,0.04608855241969073,0.06287775858533591,0.0,0.034193685662667415,0.17449761373461709,0.0,0.0,0.04101869122403675,0.038680466001144616,0.18074213837289616,0.19173205779565805,0.0,0.0,0.15897127888766455,0.0,0.0,0.07119775731628858,0.0,0.0
0,-12.944841,-41.739259999999994,0.3434841565679099,0,0.3434841565679099,0.017352248411579226,0.0,0.06228714328152867,0.0,0.0,0.020998819130369797,0.0,0.0,0.0,0.0845282122543321,0.0,0.10036261363874996,0.10798621972864003,0.0,0.2052971973758244,0.0,0.0,0.0,0.05770338961106579
1,-9.700078,-14.590019,0.4528454231456637,5,0.0,0.0,0.0,0.06383367615859298,0.05293039621661695,0.4528454231456637,0.0,0.06455842690008556,0.0,0.0,0.0,0.13537968759644473,0.012949480074576459,0.1875026774262149,0.0,0.0,0.02590467339816767,0.0,0.0,0.0
0,44.26491,-17.493479999999998,0.6501543106504689,2,0.0,0.0,0.6501543106504689,0.041049145105637064,0.0,0.016768592877354008,0.15491287720747882,0.0,0.0,0.0,0.03406878437473766,0.061627889456430225,0.01100206316537291,0.0,0.0,0.01266466852385053,0.0,0.0,0.0,0.0
4,-39.39743,-1.0551406,0.566743699689932,8,0.02004430339470064,0.0,0.0,0.0,0.0,0.09991497264571653,0.0,0.0,0.566743699689932,0.0,0.06240095327867736,0.0,0.0,0.01967795738465074,0.03312013860232037,0.0,0.0,0.1450960206738885,0.053001954330113725,0.0
4,6.813600500000001,-45.113544,0.5193816307050279,1,0.0,0.5193816307050279,0.0,0.0,0.0,0.0,0.028262318020362706,0.0,0.10064005717186936,0.0,0.0,0.0,0.0,0.0,0.0,0.3502219421215849,0.0,0.0,0.0,0.0
4,-7.1028185,38.357113,0.40099138370177306,16,0.0,0.061390535042473715,0.0,0.0,0.0,0.19414274255504926,0.0,0.034259387990111176,0.033196797150547346,0.0,0.0,0.0,0.052050561553466435,0.0,0.08211335760744222,0.0982594671697204,0.40099138370177306,0.04359576722941648,0.0,0.0
265,-30.969265000000004,-1.5015718,0.4381668132561112,8,0.0,0.14917228019942522,0.0,0.0,0.0,0.021591855497002533,0.0,0.0,0.4381668132561112,0.030939369522207206,0.0,0.08497405427731278,0.0,0.12411379377323314,0.07959686515104375,0.0,0.0,0.07144496832366408,0.0,0.0
1,-15.980602,33.866806,0.470344089158869,12,0.025209365474593712,0.0,0.0,0.0,0.0,0.05945943573629755,0.0,0.05580427416132392,0.010426006784345021,0.0304243383351005,0.0,0.0492140419573812,0.470344089158869,0.03856042198574295,0.25255686772148184,0.0,0.0,0.0,0.0,0.0
0,-27.701914000000002,-2.3113115,0.27022870552128586,8,0.04932978187780828,0.2236171983036032,0.0,0.09437421915994763,0.0,0.0,0.0,0.0,0.27022870552128586,0.0,0.0,0.1859872425701995,0.010637008221398559,0.0,0.1073016278783144,0.0,0.03273486787574008,0.024328763247404062,0.0,0.0
