n_citation
0
0
10
28
3
5
8
15
18
2
69
3
0
3
54
3
1
14
28
2
112
0
13
3
12
34
8
14
3
7
67
5
0
3
1
2
15
17
10
2
2
14
1
34
35
1
0
103
12
4
327
4
24
3
4
220
49
72
28
5
0
1
0
4
4
4
265
1
0
935
0
51
1
12
24
13
46
10
4
8
19
1
1
433
0
43
3
1
5
23
0
9
28
62
149
0
3
0
9
19
3
3
4
5
23
4
2
47
20
48
7
93
25
4
260
1
139
111
5
17
46
21
0
13
1
0
0
12
1
5
4
0
16
0
7
0
18
3
1
8
20
61
1
77
5
56
37
11
13
0
156
58
0
1
8
1
5
2
30
9
0
40
0
30
2
24
2
202
41
11
2
0
53
42
103
893
10
4
12
12
3
0
373
31
16
0
3
10
1
49
1
214
30
122
28
24
0
19
9
1
7
9
7
60
12
20
30
17
4
8
0
14
0
5
0
98
18
14
18
0
25
25
5
0
0
12
0
5
7
4
143
113
0
0
0
10
8
13
12
10
16
0
1
5
7
10
13
3
11
5
429
9
118
18
0
21
43
3
6
20
4
34
0
5
22
2
2
28
6
13
1
0
1
3
32
1
1
0
54
5
5
3
32
6
0
0
17
599
3
0
35
0
49
126
0
71
23
307
214
0
4
9
16
1
66
11
3
0
10
12
17
51
4
9
0
22
2
0
18
9
39
0
20
250
1
78
2
0
0
24
1
2
115
2
3
3
11
2
149
0
2
1
4
1
26
3
0
0
30
95
3
0
46
1
47
15
29
14
3
12
0
2
8
4
24
0
0
19
2
44
38
15
0
0
13
5
21
0
98
3
5
0
93
1
3
4
10
6
3
9
30
5
14
12
6
15
23
345
4
0
9
38
42
38
1
0
6
8
38
24
118
30
0
3
74
0
4
2
68
48
13
0
5
34
18
3
0
3
32
3
2
0
44
23
6
1
207
11
6
96
6
2
3
7
6
1
4
32
2
2
2
4
10
0
6
15
9
2
16
2
11
0
0
18
23
42
160
18
155
2
48
9
27
21
18
46
165
233
12
1
11
138
22
473
8
38
137
1
483
25
6
98
2
26
9
4
0
17
0
8
30
50
6
0
60
44
3
10
152
84
29
16
0
5
4
3
0
27
111
0
0
14
5
4
0
0
4
32
6
140
0
37
12
0
1
3
5
13
7
0
0
65
38
7
10
13
41
10
0
13
15
4
45
34
2
0
6
3
35
2
3
154
77
1
152
23
12
4
20
2
2
13
66
0
1
24
0
0
26
0
2
10
1547
7
5
18
0
13
57
4
3
26
11
10
82
0
1
12
1
15
4
17
0
13
17
68
30
1
1
0
42
44
6
3
15
2
5
14
153
138
3
6
10
23
0
2
410
1
10
1
70
21
5
4
33
7
27
26
5
6
17
4
80
1
20
73
3
30
17
6
214
8
5
2
0
4
21
11
9
6
0
1
5
563
64
213
43
320
1
1
0
46
0
8
51
0
31
12
2
55
12
3
5
59
13
286
15
27
15
1
13
8
0
1
5
43
18
8
17
0
6
0
8
5
126
2
10
54
46
262
2
6
0
26
4
51
5
1
15
3
13
4
96
88
63
16
18
12
4
9
9
13
16
3
34
0
1
19
2
10
0
2
12
5
4
44
22
7
39
3
1
2
9
0
18
27
319
1
3
13
0
18
110
36
8
30
3
30
2
2
0
6
57
2
1
29
37
88
17
0
0
1
4
14
1
1
3
11
53
23
43
11
2
2
7
75
6
4
39
6
21
2
14
17
13
2
6
25
0
7
1
6
0
0
26
4
39
4
2
189
18
40
20
1
0
9
3
2
6
2
2
1
4
42
8
3
15
1
5
2
10
32
7
9
0
21
0
34
4
1
7
4
7
2
205
10
4
15
10
23
657
11
23
0
35
27
0
0
1
65
9
0
1
80
15
0
3
9
0
39
15
15
29
1
1
5
41
206
28
1
13
3
15
1
0
8
0
14
0
4
0
7
4
20
3
15
4
4
4
2
0
0
93
2
2
0
12
30
2
13
24
4
1
1
2
8
0
12
3
15
51
1
0
7
307
0
109
0
1
3
1
20
67
6
2
16
40
72
0
74
12
14
12
0
0
14
0
24
34
12
10
26
2
2
2
7
59
50
3
0
10
0
1
6
9
32
22
20
0
20
124
8
2
167
2
0
4
14
124
7
46
9
2
3
2
44
15
49
10
3
8
42
119
80
0
10
20
39
60
1
3
3
25
20
3
7
163
480
14
3
8
24
100
0
16
1
0
32
5
1
4
0
7
6
144
5
185
4
11
3
1
29
13
4
0
19
53
10
2
9
4
0
0
3
2
110
10
11
0
40
43
406
3
14
16
45
18
99
7
10
26
6
49
614
8
1
0
7
16
0
8
9
71
68
27
0
55
9
5
28
31
5
2
